Date,Open,High,Low,Close,Adj Close,Volume
2015-06-08,380.970001,382.393005,375.002991,376.885010,364.206665,56501
2015-06-09,379.134003,379.134003,370.412994,374.359985,361.766510,77772
2015-06-10,374.726990,383.816010,374.726990,380.190002,367.400452,208888
2015-06-11,381.795990,383.403015,375.049011,376.334015,363.674164,200844
2015-06-12,376.334015,386.339996,374.544006,380.464996,367.666168,113722
2015-06-15,382.806000,383.723999,377.940002,380.234985,367.443909,206973
2015-06-16,379.134003,381.244995,375.691010,380.144012,367.355988,582410
2015-06-17,380.877991,389.691010,380.739990,386.570007,373.565796,496698
2015-06-18,384.641998,391.572998,380.144012,391.572998,378.400513,1876613
2015-06-19,391.985992,401.348999,390.196014,398.365997,384.964996,196397
2015-06-22,398.411987,399.971985,388.681000,389.415009,376.315094,145963
2015-06-23,392.536987,398.595001,391.985992,394.281006,381.017456,209357
2015-06-24,394.739990,395.750000,388.497009,389.598999,376.492920,95772
2015-06-25,389.231995,394.188995,387.993011,392.445007,379.243195,162891
2015-06-26,391.527008,393.132996,381.062012,383.356995,370.460968,165070
2015-06-29,381.888000,382.806000,372.799988,379.592987,366.823517,117040
2015-06-30,380.970001,387.303986,380.281006,385.467987,372.500854,136466
2015-07-01,387.395996,393.638000,385.605988,389.691010,376.581848,212173
2015-07-02,392.720001,402.084015,390.654999,397.998993,384.610382,455655
2015-07-03,397.493988,401.808014,396.575989,399.145996,385.718781,224625
2015-07-06,397.493988,401.854004,391.985992,397.860992,384.476990,181541
2015-07-07,397.493988,400.431000,394.739990,395.795990,382.481445,78195
2015-07-08,395.657990,397.493988,388.313995,394.143005,380.884064,588432
2015-07-09,394.050995,406.444000,394.050995,397.402008,384.033447,202712
2015-07-10,399.238007,399.329987,383.723999,385.054993,372.101807,200731
2015-07-13,385.101013,391.756012,385.101013,388.681000,375.605835,67331
2015-07-14,388.313995,390.609009,385.927002,387.212006,374.186249,66878
2015-07-15,387.075012,391.572998,386.247986,388.037994,374.984436,149199
2015-07-16,390.378998,391.251007,385.283997,389.691010,376.581848,294273
2015-07-17,391.985992,394.739990,388.773010,390.929993,377.779144,231029
2015-07-20,393.821991,396.713989,391.067993,394.234985,380.972931,380861
2015-07-21,402.542999,415.348999,398.640991,408.739014,394.989075,415458
2015-07-22,408.325989,411.722992,402.084015,403.322998,389.755280,319889
2015-07-23,403.920013,404.838013,395.519989,397.127014,383.767731,264109
2015-07-24,396.575989,402.817993,394.739990,398.640991,385.230713,258964
2015-07-27,394.739990,397.540009,382.622009,383.540009,370.637756,171809
